period,airline,activity,count
201608,"COPA Airlines, Inc.",Enplaned,4268
201105,Swiss International,Enplaned,6646
201109,Virgin America,Deplaned,132164
201807,Qantas Airways,Enplaned,8115
201412,Alaska Airlines,Enplaned,57646
201407,SAS Airlines,Enplaned,7343
201804,Korean Air Lines,Enplaned,11381
201401,JetBlue Airways,Enplaned,38495
201302,Delta Air Lines,Deplaned,84048
201601,Air New Zealand,Deplaned,11000
201711,Swiss International,Deplaned,7610
201212,Air China,Enplaned,7467
201810,Delta Air Lines,Enplaned,192439
201807,Aeromexico,Deplaned,14518
201510,Japan Airlines,Deplaned,5986
201402,Southwest Airlines,Thru / Transit,13
201510,China Southern,Deplaned,5525
201511,Virgin America,Enplaned,180052
201804,WestJet Airlines,Enplaned,648
201806,SkyWest Airlines,Enplaned,165959
201204,Servisair,Enplaned,171
201906,Thomas Cook Airlines,Deplaned,3630
201305,Japan Airlines,Enplaned,6547
201007,Mesa Airlines,Deplaned,9839
201003,Qantas Airways,Enplaned,3451
201103,Aeromexico,Deplaned,2834
201909,United Airlines,Deplaned,862202
201511,Aeromexico,Enplaned,10476
201010,Philippine Airlines,Enplaned,10883
201310,Asiana Airlines,Enplaned,6648
201112,Swiss International,Deplaned,5667
201509,KLM Royal Dutch Airlines,Deplaned,11751
201807,Hong Kong Airlines Limited,Thru / Transit,466
201103,Virgin America,Deplaned,112310
201111,KLM Royal Dutch Airlines,Enplaned,5500
201405,Air China,Enplaned,7320
201606,United Airlines,Enplaned,924076
201811,Hawaiian Airlines,Deplaned,15339
201406,US Airways,Deplaned,80670
201205,TACA,Enplaned,4905
201311,Delta Air Lines,Deplaned,102185
201004,AirTran Airways,Deplaned,10509
201402,United Airlines,Deplaned,592785
201503,Alaska Airlines,Deplaned,63606
201107,Southwest Airlines,Thru / Transit,253
201612,Swiss International,Deplaned,5760
201009,Air New Zealand,Deplaned,5878
201108,SkyWest Airlines,Enplaned,172141
201212,Lufthansa German Airlines,Deplaned,17116
201705,WOW Air,Deplaned,4366
201708,British Airways,Enplaned,21532
201207,American Airlines,Enplaned,139782
201109,Philippine Airlines,Deplaned,7398
201204,Singapore Airlines,Enplaned,13098
201801,Sun Country Airlines,Deplaned,4754
201801,United Airlines,Thru / Transit,1065
201005,TACA,Deplaned,4099
201101,Cathay Pacific,Deplaned,21378
201501,SkyWest Airlines,Enplaned,154128
201702,Volaris Airlines,Enplaned,3318
201001,United Airlines - Pre 07/01/2013,Enplaned,447101
201007,Delta Air Lines,Deplaned,163342
201309,China Eastern,Enplaned,3678
201512,SkyWest Airlines,Enplaned,175825
201006,American Airlines,Deplaned,140351
201002,Air France,Deplaned,6152
201010,Qantas Airways,Deplaned,3803
201310,Frontier Airlines,Enplaned,19098
201003,Philippine Airlines,Deplaned,12071
201107,United Airlines,Deplaned,85262
201707,American Airlines,Deplaned,177155
201905,Virgin Atlantic,Enplaned,12615
201905,All Nippon Airways,Deplaned,5665
201009,LAN Peru,Deplaned,2799
201709,TACA,Deplaned,5888
201105,China Airlines,Deplaned,10718
201204,EVA Airways,Deplaned,11052
201811,Emirates,Enplaned,11312
201801,Southwest Airlines,Deplaned,149105
201405,Lufthansa German Airlines,Deplaned,22778
201712,Aer Lingus,Enplaned,6200
201507,American Airlines,Deplaned,132941
201506,Delta Air Lines,Deplaned,169393
201001,Mexicana Airlines,Enplaned,10168
201807,Philippine Airlines,Deplaned,14423
201811,EVA Airways,Enplaned,24656
201204,Emirates,Deplaned,9612
201712,United Airlines,Enplaned,932007
201010,Virgin America,Enplaned,107781
201811,Turkish Airlines,Enplaned,8751
201103,Philippine Airlines,Deplaned,10933
201409,Asiana Airlines,Enplaned,7151
201806,Horizon Air,Deplaned,5916
201904,Icelandair EHF,Deplaned,3002
201111,LAN Peru,Enplaned,2354
201801,Delta Air Lines,Enplaned,98224
